sku,name,author,regular_price,sale_price,quantity,publisher,edition,notes,cover,language,condition,images
20-11-071,তিন বিঘা,রকিব হাসান,40.0,,6,সেবা প্রকাশনী,1999.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/তিন%20বিঘা.jpg
20-11-072,তাসের খেলা,রকিব হাসান,40.0,,9,সেবা প্রকাশনী,2002.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/তাসের%20খেলা.jpg
20-11-074,ভ্যাম্পায়ারের দ্বীপ,রকিব হাসান,40.0,,5,সেবা প্রকাশনী,1998.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/ভ্যাম্পায়ারের%20দ্বীপ.jpg
20-11-076,গ্রেট কিশোরিয়াসো,রকিব হাসান,40.0,,2,সেবা প্রকাশনী,1999.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/গ্রেট%20কিশোরিয়াসো.jpg
20-11-077,প্রত্নসন্ধান,রকিব হাসান,40.0,,2,সেবা প্রকাশনী,2000.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/প্রত্নসন্ধান.jpg
20-11-078,নিষিদ্ধ এলাকা,রকিব হাসান,40.0,,7,সেবা প্রকাশনী,2001.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/নিষিদ্ধ%20এলাকা.jpg
20-11-080,মানুষ ছিনতাই,রকিব হাসান,40.0,,8,সেবা প্রকাশনী,2000.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/মানুষ%20ছিনতাই.jpg
20-11-083,জবরদখল,রকিব হাসান,40.0,,7,সেবা প্রকাশনী,2000.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/জবরদখল.jpg
20-11-084,প্রেতাত্নার প্রতিশোধ,রকিব হাসান,40.0,,4,সেবা প্রকাশনী,1997.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/প্রেতাত্নার%20প্রতিশোধ.jpg
20-11-085,বিড়াল উধাও,রকিব হাসান,40.0,,3,সেবা প্রকাশনী,1994.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/বিড়াল%20উধাও.jpg
20-11-086,গ্রেট মুসাইয়োসো,রকিব হাসান,40.0,,0,সেবা প্রকাশনী,1999.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/গ্রেট%20মুসাইয়োসো.jpg
20-11-087,নেকড়ের গুহা,রকিব হাসান,40.0,,7,সেবা প্রকাশনী,2001.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/নেকড়ের%20গুহা.jpg
20-11-088,জলদস্যু্র মোহর,রকিব হাসান,40.0,,7,সেবা প্রকাশনী,1996.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/জলদস্যু্র%20মোহর.jpg
20-11-089,গেল কোথায়,রকিব হাসান,40.0,,4,সেবা প্রকাশনী,1997.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/গেল%20কোথায়.jpg
20-11-090,গুপ্তচর শিকারি,রকিব হাসান,40.0,,0,সেবা প্রকাশনী,1996.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/গুপ্তচর%20শিকারি.jpg
20-11-091,মাকড়সামানব,রকিব হাসান,40.0,,6,সেবা প্রকাশনী,1997.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/মাকড়সামানব.jpg
20-11-092,ডাকাত সর্দার,রকিব হাসান,40.0,,9,সেবা প্রকাশনী,2000.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/ডাকাত%20সর্দার.jpg
20-11-093,ডীপ ফ্রীজ,রকিব হাসান,40.0,,11,সেবা প্রকাশনী,2002.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/ডীপ%20ফ্রীজ.jpg
